"tau..0.1","tau..0.2","tau..0.3","tau..0.4","tau..0.5","tau..0.6","tau..0.7","tau..0.8","tau..0.9"
"regression_xd41d21",-3599.59910292483,-3199.00311324476,-3662.4435726355,-3191.38622411673,-2892.73591891969,-2311.59294268597,-1514.59727965773,-3283.11211483514,-1481.19881149252
"regression_xd41d22",-3175.95813096968,-3690.22239045332,-3053.24556586546,-2958.24043145558,-3449.71858635235,-3275.6782150146,-5135.66377729373,-5035.80457169389,-877.851167637935
"regression_xd41d23",-7860.2806710562,-6498.24652859527,-7383.78105605544,-7330.46396756386,-7047.65044774719,-5491.07600080745,-6737.42909055773,-6321.79660872782,-6336.95938547893
"regression_xd41d24",-5194.23167715843,-5659.06145634087,-6350.77204508516,-6289.44408516157,-5821.25194392749,-6856.51397494498,-8842.84441838711,-7431.29702695872,-4931.3282859039
"regression_xd41d25",-2651.30698745086,-2099.64416293044,-3306.74560805273,-2746.32458030617,-3135.38252117691,-2640.59345953214,-4044.94792406375,-3532.53121078207,-1462.87745853221
"regression_xd41d26",-4017.01314302458,-1958.03790465513,-2146.03206987007,-735.851717983835,-2130.40810394294,-1214.8225164447,-2897.32207095402,-5558.04015172056,-10785.7254747857
"regression_xd41d27",287.81618366039,4501.0870179992,4341.32386318402,5156.36507548609,5513.26267286776,8517.76720809364,3401.67397156425,3016.63305056436,2317.73391804192
"regression_xd41d28",-1535.58824573938,-320.617772152097,-2208.02791745491,-1529.67831837551,-1863.04191968467,-1217.60780017753,-2895.70106736475,-3630.1003055379,-1211.2238497563
"regression_xd41d29",-4280.07319527619,-4043.20664003888,-3401.20188941249,-2405.67265296926,-1986.90795422545,-2519.58394922591,-2926.69750716639,-2646.19510648458,131.168803313311
"regression_xd41d210",-5056.51713527319,-2215.4838136249,-4931.53333217835,-6158.31576992429,-11272.8017154434,-10909.4311252933,-10668.735079996,-10845.0827334602,-1768.45480575975
"regression_xd41d211",-4178.14845748403,-3766.68764197756,-3336.94728381503,-4037.81430071543,-5338.35990707397,-6498.90751114478,-7609.63560868439,-10876.2854312597,-6804.79104446336
"regression_xd42d21",-3596.92326249439,-3133.97265565958,-3803.19296456257,-3088.03370078061,-1991.75058693484,-1336.41040772911,-420.86241083875,-1459.74865475014,4345.11520135549
"regression_xd42d22",-3651.11529401768,-4223.69791188489,-3690.22224595725,-3408.98038542296,-3369.95552745881,-2720.22723474969,-4303.4544243421,-3305.99067877932,2875.62784374372
"regression_xd42d23",-8201.5876043592,-7776.16833242589,-9188.40777314357,-8888.57080301863,-8135.80859260515,-6403.25129359996,-8546.35360297661,-7804.25009909845,-2893.82925038493
"regression_xd42d24",-6031.50245733161,-6764.41724845312,-7716.05745060555,-7448.92100085681,-6588.15731777355,-8677.17427028878,-12739.0850188646,-10622.3358416383,-3753.30813822576
"regression_xd42d25",-3979.89387101629,-2445.47736033096,-3890.64380432657,-3052.97275616552,-2221.61596997618,-1121.13907160391,-2490.21018150294,-1278.65325141911,2726.58390048533
"regression_xd42d26",-4372.38950813417,-2829.69521905679,-3448.8969250727,-1335.58066615217,-2181.92027754585,-1444.2394706449,-2970.76596031765,-6212.12624496661,-10712.9680689026
"regression_xd42d27",379.316890812075,4626.89816879825,4605.39575215661,6131.42586236156,7242.60664088507,10746.7254831695,5886.03075716917,5690.71202384788,7903.83011292222
"regression_xd42d28",-1073.09391509609,-2.9732603175822,-1076.86015957436,-62.7303895834992,740.368300672158,1871.62436733184,919.906502648115,178.343019017263,4789.65996364634
"regression_xd42d29",-3164.4878789272,-2806.06195067926,-2307.98135233327,-652.915171812956,508.354654654504,262.645021940957,189.749373104332,1395.75689485911,7003.5495612222
"regression_xd42d210",-5122.85654449521,-2404.33587654604,-5213.88017030012,-6055.9095904469,-10450.4099990388,-10207.8559404891,-10096.9011888426,-10089.0368570557,1446.42364403918
"regression_xd42d211",-3822.73539976,-3094.41531151931,-3104.64544625135,-3186.98677157882,-3866.17271024932,-5039.83366260413,-5570.07903028274,-10059.1000977539,-3068.64677709293
"regression_xd43d21",-5394.99871136799,-5155.18050286282,-5661.23401027453,-3685.82262355481,-2193.56802078121,-1869.72735307187,265.200662569926,-894.461874522778,8495.15471897423
"regression_xd43d22",-3710.38696407563,-4616.60714243937,-3501.15933013093,-2820.38056732038,-2345.03208586438,-1900.19212814462,-3378.72739795356,-3759.952205687,4286.57293344255
"regression_xd43d23",-9156.68658530646,-8914.22850347244,-11041.1485482163,-10457.9637597491,-9921.14595716584,-8466.8808136566,-10274.8590426048,-9977.46012661875,-2524.14641679451
"regression_xd43d24",-5712.40541292993,-7037.534828529,-8628.00304723881,-8387.22480873597,-7219.98545754685,-9887.67282954404,-14120.0704062882,-12207.2474838714,-2683.78166298957
"regression_xd43d25",-2513.00671648731,-2587.95181194772,-4257.12954113084,-2126.65794310593,-751.244452344692,276.659169350805,-1083.82051293078,611.449233476312,5824.61364039783
"regression_xd43d26",-4745.67685916381,-3382.18144100403,-4174.28827253336,-1311.84019867656,-1964.5196828991,-1231.34089495436,-2882.68186299275,-7371.10069356494,-10405.9067478697
"regression_xd43d27",418.03716668178,4732.11891820433,4416.14791150725,6146.05287326283,7819.64509192038,11925.9416281409,7165.81873940395,7353.81860983674,11366.2158860378
